Failure_ID,Layer,Stage,Three_Body_Dynamics,Failure_Event,Trigger_or_Surface,Bad_Outcome,Early_Detection_Signals,Recovery_Mechanism,Skill_Logic_to_Inject,Reducer_Guard_or_State_Rule,Confidence_Cadence_Mode,Suggested_Test,Severity,Likelihood,Detection_Confidence,Automation_Level,Notes
F086,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Signal overwrites draft,Task return while user typing,User draft lost,Composer non-empty,Hold pending recovery,composer_occupied_guard,Never overwrite non-protocol composer text,low_confidence,Draft + signal; assert hold,Critical,Medium,High,Automatable,
F087,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Task treated as request,Timer result reaches chat without wrapper,Chat answers timer not route,Response lacks route_id,Wrap as signal-only recovery packet,signal_not_request,Task token never mutates state directly,low_confidence_recovery,Token-alone response; assert wrapper,High,Medium,Medium,Semi-manual,
F088,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Tasks overused,Tasks scheduled every turn,Noise/quota/cognitive burden,Many active tasks; small state deltas,Use tasks only delayed recovery flares,boundary_task_only,Task creation only at timed boundary/pause,fast_check_in,Per-turn task plan; assert rejection,Medium,Medium,High,Design-time,
F089,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Voice click lacks user gesture,Synthetic click on mic/voice button,Voice Mode does not open,No mic prompt/open state,Require explicit user-triggered action,trusted_voice_activation,Voice open only under user gesture/POC,low_confidence,Synthetic vs user-triggered voice toggle,Medium,High,Medium,Semi-manual,
F090,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Microphone opens unexpectedly,Auto-recovery triggers voice,Trust/privacy failure,Voice state opens without trigger,Hard gate no background mic,no_secret_mic,"Background signals can prepare, not open mic",low_confidence,Task recovery cannot open voice,Critical,Low,Medium,Automatable,
F091,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Voice transcript ambiguous,Noisy STT short reply,Wrong commit,Generic ack/garbled text,Confirm or hold,voice_uncertainty_hold,Low-confidence voice cannot advance,low_confidence,Ambiguous transcript; assert hold,High,Medium,Low,Semi-manual,
F092,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Shortcut delayed,Gmail/iOS delay,Recovery applies to stale state,Email timestamp older than state,Stale signal guard,stale_shortcut_signal,Late external signals require freshness check,low_confidence_recovery,Delayed signal after state change,High,Medium,Medium,Semi-manual,
F093,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Shortcut opens wrong chat,URL/project route not specified,Packet lands wrong context,Current URL route_id mismatch,Verify route/chat before insert,shortcut_destination_guard,External signal verifies destination,low_confidence,Wrong chat recovery attempt,High,Medium,Medium,Semi-manual,
F094,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,iOS background stops code,Phone locked/backgrounded,Assumed automation fails,No callback/log,Design recovery on foreground/notification,ios_foreground_assumption,No critical transition solely background code,low_confidence_recovery,Background event test,Critical,High,Low,Semi-manual,
F095,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Shortcut duplicate,Same email processed twice,Duplicate recovery/state event,Same message_id/event_id,Dedupe external signals,external_signal_dedupe,External event commits once,fast_check_in,Duplicate shortcut event,High,Medium,High,Automatable,
F096,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Voice steals focus,Voice opens before insertion settles,Packet lost/mismatched,Active element changes; text mismatch,Sequence lock: insert/verify then voice,recover_turn_sequence_lock,Recover-turn steps explicit order,low_confidence,Interleave voice and insert,High,Medium,Medium,Automatable,
F097,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,Notification lacks context,Lock screen says generic check-in,Billy cannot re-enter route,No route/chunk in notification,Include route_id + active_chunk,notification_context_minimum,Recovery notification includes next action,fast_check_in,Generate notification context,Medium,High,Medium,Design-time,
F098,Voice/Shortcut,External/Voice Surface,Signal source ↔ Watcher ↔ Reducer,External signal lacks state,Email only sends token,Recovery guesses route,No route_id/session_id,Carry minimal IDs or request lookup,external_signal_min_state,External signals include route/session when possible,low_confidence_recovery,Token-only signal,High,Medium,Medium,Automatable,
F099,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,GitHub Pages propagation delay,Update XML live but zip 404,Tests stale or fail incorrectly,Installed version remains old,Version gate + URL checks,version_stamp_gate,Every test starts with dataset build,fast_check_in,Update during propagation,Medium,Medium,High,Semi-manual,
F100,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,Extension disabled,Orion extension off or permission missing,No harness on ChatGPT,No log/dataset stamp,Install-state checklist/fallback,extension_enabled_check,No test without build stamp,fast_check_in,Disable extension,Medium,Medium,High,Semi-manual,
F101,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,iCloud install fails,Package selected from iCloud path,Uninstalled/stale extension,Install prompt absent/version unchanged,Use iPhone-local Orion path,local_install_path_rule,Initial install local; updates via Update button,fast_check_in,Install path comparison,Medium,High,High,Manual,
F102,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,Sleep suspends script,Phone locks or app backgrounds,Live watcher misses route event,No logs during sleep; stale state,Treat foreground as live-only; rescan on focus,foreground_live_watcher,No background reliability assumption,low_confidence_recovery,Lock 5/30/60 minutes,High,High,Low,Semi-manual,
F103,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,UI lazy loads,Content script starts before composer,Early detection false fail,composer_missing then appears,Bounded wait/retry status,composer_ready_wait,Wait but do not loop forever,fast_check_in,Cold page load,Medium,High,High,Automatable,
F104,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,Console noise hides signal,Many sourcemap 404 errors,Tester misses harness logs,ORION line buried,Filter by ORION/dataset status,debug_noise_filter,Result uses stamp/status not console cleanliness,fast_check_in,Noisy console log,Low,High,High,Manual,
F105,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,URL pattern misses project chat,Manifest excludes /g/.../c/...,No content script in project context,No stamp on valid ChatGPT URL,Safely broaden chatgpt.com routes,safe_host_match_scope,Match needed ChatGPT routes only,fast_check_in,Open /c and /g/c URLs,High,Medium,High,Semi-manual,
F106,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,Network/cache stale update,Device offline or cached XML,Old build tested,Version unchanged; URL unreachable,Separate delivery failure from runtime failure,update_connectivity_check,Report installed version and retry,fast_check_in,Stale version diagnosis,Medium,Medium,Medium,Manual,
F107,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,Reinstall wipes state,Delete/reinstall extension,Active route memory disappears,No state snapshot,Recover from packet/Command Center or ask restore,state_loss_recovery,Reinstall cannot silently claim active state,low_confidence_recovery,Reinstall during route,High,Medium,Medium,Semi-manual,
F108,Orion Runtime,iOS Runtime,Orion UI ↔ ChatGPT DOM ↔ Harness,Long foreground session degrades,Orion left awake for hours,Mutation observers or state drift,Observer count/log gaps; stale dataset,Heartbeat/status stamp and reload-safe recovery,foreground_liveness_probe,Long-session tests log liveness without state mutation,low_confidence_recovery,One-hour foreground liveness test,Medium,Medium,Low,Semi-manual,
F109,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Wrong repo/worktree,Command Center and implementation both open,Code/docs diverge,Changed files in wrong path,Read rulebooks and report exact paths,repo_boundary_rule,Command Center memory/status; Code Projects implementation,slow_decision_boundary,Agent task with two repos,High,Medium,High,Design-time,
F110,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Feature before design gate,Agent builds v0.2 before protocol spec,Feature drift,Extension code changed when design requested,Milestone gate,milestone_gate,No implementation before accepted design artifact,slow_decision_boundary,Design-only task; verify no code,Medium,High,Medium,Design-time,
F111,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Unsafe public package,Extension package includes sensitive APIs,Privacy breach,Static scan finds storage/cookie/token APIs,Block publish until safe,public_artifact_safety_scan,Public probes harmless/auditable,low_confidence,Unsafe API fixture; scan fails,Critical,Low,High,Automatable,
F112,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Firefox path becomes canonical,Agent switches variant,Installed Chrome channel stops updating,Flavor not chrome or XML mismatch,Chrome-only canonical rule,chrome_only_canonical,Firefox fallback/probe only unless changed,fast_check_in,Build variant check,Medium,Medium,High,Automatable,
F113,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Parallel memory system created,Agent creates new dashboard/status files,Future agents confused,Docs duplicate project cards/status,Keep memory in Command Center,single_memory_system,No parallel memory/status sources,slow_decision_boundary,Docs task; verify placement,Medium,Medium,Medium,Design-time,
F114,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Pass claimed without device proof,Local build passes but iPhone untested,False milestone status,Report lacks Billy Web Inspector output,Separate local/Pages/device pass,device_pass_required,Orion runtime pass needs device evidence,slow_decision_boundary,Local-only run; assert unproven on device,High,Medium,High,Design-time,
F115,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Source doc too noisy,Massive logs saved as context,Agents overfit irrelevant history,Docs include raw chatter without summary,Low-noise source brief + detail links,low_noise_source_rule,Active rules separated from history,fast_check_in,Score source signal/noise,Medium,High,Medium,Design-time,
F116,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Failure map lacks test mapping,Rows are interesting but not actionable,Agents cannot build fixtures,No Suggested_Test/Skill/Guard fields,Map every row to test/recovery/guard,failure_map_to_fixture,Every failure maps to mechanism and test,fast_check_in,Convert row to fixture,Medium,Medium,High,Automatable,
F117,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Secrets in artifact,Build includes .env/token/local config,Credential exposure,Archive contains secret patterns,Pre-publish secret scan,secret_scan_gate,No publish without secret scan,low_confidence,Fake secret fixture; verify block,Critical,Low,High,Automatable,
F118,Agent/Build,Agent Workflow,Agent ↔ Repo/rulebook ↔ Runtime,Rulebook overwritten,Agent edits governance while doing design,Future agents drift,Rulebook diff without explicit scope,Read rulebook; do not rewrite unless requested,rulebook_write_guard,Rulebook edits require explicit task,slow_decision_boundary,Architecture task; verify rulebook unchanged,High,Low,High,Design-time,
F119,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Auto-submit default,POC flag leaks into normal build,Unintended ChatGPT messages,sendButton.click ungated,Default insert-only; explicit trusted mode for submit,submit_disabled_default,Submit requires verified insert and explicit mode,low_confidence,Static scan click/send paths,Critical,Medium,High,Automatable,
F120,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Auto voice from background,Task return opens Voice Mode,Surprise mic activation,Voice opens without user gesture,User-triggered recover-turn only,voice_user_gesture_gate,"Signals can prepare, not open mic",low_confidence,Task recovery cannot open voice,Critical,Low,Medium,Automatable,
F121,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Private storage read,Extension reads cookie/localStorage/session,Privacy breach,Disallowed APIs in content script,Use visible DOM and explicit packets,no_private_storage_reads,No hidden browser data access,low_confidence,Static scan for storage APIs,Critical,Low,High,Automatable,
F122,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Hidden backend appears early,Agent adds server/DB for state,Hard-to-audit memory,New endpoint/DB without design doc,Defer backend; minimal state only,no_hidden_state_backend_yet,Backend requires explicit architecture approval,slow_decision_boundary,Backend proposal; assert defer,High,Medium,Medium,Design-time,
F123,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,High confidence at high-risk boundary,Fast infer mode on important decision,Bad commitment,fast mode + high-risk phase,Risk gate downshifts,risk_based_cadence,High-risk cannot use fast infer mode,low_confidence,Fast mode project choice,Critical,Medium,Medium,Automatable,
F124,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Low confidence everywhere,Every reply asks confirmation,Harness becomes unusable,Many clarification turns no progress,Raise confidence for low-risk physical chunks,confidence_gain_tuning,Cadence adjusted from failure metrics,high_confidence_fast,Conservative cleanup route,Medium,High,Medium,Semi-manual,
F125,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Repair shames user,Repair text blames or scolds,User rejects harness,Blame language in packet,Humane repair copy,humane_repair_copy,Repair states facts and tiny next move,low_confidence_recovery,Score repair tone,Medium,Medium,Low,Semi-manual,
F126,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Skill overrides user authority,Skill says do not deviate from route,System feels controlling,User asks switch/pause; assistant resists,Explicit user override transitions,user_override_is_legal,User can pause/switch/cancel,low_confidence,Switch request; assert legal,High,Medium,Medium,Semi-manual,
F127,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Rigid machine rejects nuance,Conditional worldstate unsupported,Useful info discarded or route explodes,Repeated repair for nuanced reply,Reduce nuance to guard/subchunk/parked note,nuance_reduction_policy,Nuance becomes bounded rule element,contextual_confidence,Complex reply; assert reduction,High,High,Low,Semi-manual,
F128,Safety/Autonomy,Safety & Trust,Autonomy request ↔ Harness action ↔ User trust,Sensitive context in recovery,Packet contains details not needed,Visible disclosure,Extra private notes beyond state,Minimize packet,packet_minimal_disclosure,Only state needed for next decision,low_confidence,Rich context packet; assert minimization,Critical,Medium,Medium,Automatable,
F129,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,LLM and reducer disagree about state,Assistant says it advanced; reducer did not,User sees contradictory state,state_claim differs from current_state,Repair with authoritative state packet,state_authority_repair,Reducer state wins,low_confidence_recovery,Conflicting state claim; assert reducer wins,Critical,Medium,High,Automatable,
F130,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Chat memory assumed sufficient,Billy says 'you know what I mean',LLM guesses; state absent,Reference to unlisted prior state,Ask restore from last packet or choose route,memory_gap_recovery,"If not in packet/store, unknown",low_confidence,Vague continuity request,High,High,Medium,Semi-manual,
F131,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Harness too fast for cognition,Fast mode at complex boundary,Billy feels pushed,Hedging/friction after fast prompt,Downshift cadence,cadence_downshift,Boundary friction lowers speed,low_confidence,Fast complex boundary,High,Medium,Low,Semi-manual,
F132,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Harness too slow for action,Low confidence on obvious physical task,Momentum dies,Needless confirmations,Upshift cadence,cadence_upshift,Low-risk physical chunks infer more,high_confidence_fast,Slow cleanup test,Medium,High,Medium,Semi-manual,
F133,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Rule fixes one failure but creates another,New skill creates adjacent regression,Latent failure shifts,New failures after skill injection,Regression suite per skill change,skill_regression_suite,Skill changes need before/after tests,contextual_confidence,Add rule; run fixture suite,High,Medium,Medium,Automatable,
F134,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Semantic helper over-plans,LLM predicts too many possible failures,Protocol becomes bloated,Many speculative guards in packet,Select top boundary risk only,risk_budgeting,One or two active risk controls per packet,fast_check_in,Prompt with many risks; assert minimal packet,Medium,High,Medium,Design-time,
F135,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Semantic helper under-plans,LLM misses likely boundary failure,No guard for obvious ambiguity,Historical failure row matches current stage but unused,Predict failure from map before packet,failure_map_lookup,Packet builder consults failure taxonomy,contextual_confidence,Known boundary; assert skill selection,High,Medium,Medium,Design-time,
F136,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Packet memory fights chat memory,Old chat contains conflicting context,Assistant follows old chat over packet,Response references stale route,Packet authority line and reducer check,packet_over_chat_authority,Current packet beats chat history,low_confidence_recovery,Old context in chat; assert packet state wins,High,High,Medium,Semi-manual,
F137,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Test rig optimizes artificial behavior,LLM learns fixture quirks,Real user flow still fails,Passes exact fixtures but fails paraphrase,Use stochastic variants and invariant scoring,stochastic_fixture_variants,Fixtures vary wording/order while preserving invariants,contextual_confidence,Paraphrase/run variants,High,Medium,Medium,Automatable,
F138,Cross-Cutting,3-Body Dynamics,User ↔ LLM ↔ Reducer,Agent absorbs spreadsheet as truth not hypothesis,Failure map treated as complete design,Blind spots untested,Rows lack uncertainty labels,"Mark map as predictive latent, not exhaustive truth",predictive_artifact_caveat,Failure map guides tests; real runs update it,slow_decision_boundary,Ask agent to use map; assert caveat in report,Medium,Medium,High,Design-time,
F139,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill block overfits one phrasing,done_vs_move_on works only when user says exact 'done',Boundary fails on paraphrases,Synonyms not mapped to intent,Add phrase-class examples but commit via reducer rules,intent_synonym_map,"Intent mapping feeds proposal, reducer still guards",contextual_confidence,Test done synonyms: finished/all set/good enough,High,High,Medium,Automatable,
F140,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill block lacks negative examples,Rule says what to do but not what to avoid,Assistant still advances early,No explicit forbidden transition,Add counterexamples in skill packet,negative_example_microblock,Boundary skill includes forbidden moves,slow_decision_boundary,Boundary prompt with tempting wrong advance,Medium,Medium,Medium,Semi-manual,
F141,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Too many skill blocks injected,Planner loads every relevant skill,Packet bloat and conflicting instructions,Multiple overlapping skills in packet,Choose top one or two active blocks,skill_selection_budget,Packet has skill_budget limit,fast_check_in,Boundary with many candidate skills; assert budget,Medium,High,Medium,Design-time,
F142,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Wrong confidence block selected,Fast_check_in selected for risky choice,Premature commitment,Risk stage + high confidence skill,Risk-aware skill router,confidence_router,High-risk stages downrank fast skills,low_confidence,Skill selector test by stage risk,High,Medium,Medium,Automatable,
F143,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill logic not versioned,Old skill behavior mixed with new tests,Reports impossible to compare,No skill_version in packet/report,Add skill_version + run id,skill_version_stamp,Every injected skill block has version,fast_check_in,Run same test before/after skill change,Medium,Medium,High,Automatable,
F144,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill library names too poetic,Skills named metaphorically only,Agent cannot select reliable block,No functional keywords in skill metadata,Add functional names + routing keywords,skill_naming_contract,Skill name describes boundary it controls,fast_check_in,Select skill from failure row; verify match,Medium,Medium,Medium,Design-time,
F145,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill modifies state directly in prose,Skill tells assistant to mark route done,LLM claims commit authority,Skill text contains direct state mutation claim,Rewrite as proposal/response contract,skill_no_commit_authority,Skills guide LLM; reducer commits,low_confidence,Scan skill for commit-authority language,Critical,Medium,High,Automatable,
F146,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill ignores cadence governor,Behavior rule conflicts with fast/slow mode,Cadence setting has no effect,Skill has hardcoded verbosity/clarify behavior,Skill reads cadence_mode as parameter,skill_cadence_aware,Skills are parameterized by cadence_mode,contextual_confidence,Same skill under fast vs slow mode,Medium,Medium,Medium,Automatable,
F147,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill lacks recovery path,Skill defines normal behavior only,Drift cannot be repaired cleanly,No repair_policy in skill block,Add repair snippet to each boundary skill,skill_repair_clause,Each boundary skill names repair response,low_confidence_recovery,Force drift with skill active; assert repair,High,Medium,Medium,Semi-manual,
F148,Skill Library,Skill Logic Blocks,Skill block ↔ LLM behavior ↔ Reducer,Skill improves LLM but not reducer,Assistant behaves better but scorer cannot see it,No measurable improvement,Skill has no mapped invariant/failure IDs,Link skill to failure rows and test assertions,skill_to_invariant_map,Every skill block maps to failure IDs/tests,fast_check_in,New skill; assert test mapping,Medium,High,High,Automatable,
F149,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Trial has no real user interruption,Workflow only scripted ideal replies,System fails live messy use,No side_question/ambiguous/silence events,Add interruption cases,workflow_interruptions_required,Every workflow has messy human events,slow_decision_boundary,Generate workflow; assert interruption coverage,High,High,High,Automatable,
F150,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Trial lacks recovery scoring,Failure counted only as fail,Repair improvement invisible,No PASS_WITH_REPAIR class,Score repair as distinct outcome,repair_score_class,Repair is expected and measurable,contextual_confidence,Drift then repair; assert PASS_WITH_REPAIR,Medium,High,High,Automatable,
F151,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Trial captures no transcript evidence,Agent summarizes result without raw turns,Hard to debug failures,No turn log/command IDs,Save transcript snippets keyed by command_id,trial_transcript_log,"Each run records packet, response, score",fast_check_in,Run trial; inspect transcript log,Medium,Medium,High,Automatable,
F152,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Trial not replayable,Manual run lacks fixture/event IDs,Cannot reproduce bug,No workflow_id/run_id/event_id,Add deterministic fixture and run metadata,replayable_trial_metadata,Every trial has workflow_id/run_id/seed-ish notes,fast_check_in,Manual trial report; assert metadata,Medium,High,High,Design-time,
F153,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Trial outcome ignores user burden,Passes state but annoys Billy,Technically correct but unusable,"Long replies, many confirmations, user friction",Add friction score alongside correctness,friction_score,Workflow pass includes burden/friction metric,contextual_confidence,Run route; score confirmations/questions,High,High,Low,Semi-manual,
F154,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Scorer cannot handle paraphrase,Footer absent but prose clearly obeys,False fail or manual stall,No semantic-prose fallback lane,Add manual/semi-auto judgment fields,semi_auto_semantic_score,Observer can flag needs_review rather than fail,low_confidence,Prose-only compliant response; assert review path,Medium,High,Low,Semi-manual,
F155,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Optimizer rewards speed over safety,Fast mode gets more passes on short routes,Risky boundary failures hidden,No severity weighting,Weight high-severity failures more than speed,severity_weighted_score,Critical failures dominate optimization,low_confidence,Compare fast/slow policy with critical failure,Critical,Medium,Medium,Automatable,
F156,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Optimizer rewards caution over usefulness,Slow mode avoids errors by never advancing,Route never completes,Many holds/clarifications with no progress,"Track completion and friction, not just safety",progress_safety_balance,Policy must satisfy safety + progress thresholds,contextual_confidence,Slow policy; assert failure if no progress,High,High,Medium,Automatable,
F157,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Fixture does not update after live failure,Live drift discovered but map stays stale,Same failure repeats,New failure not added to failure map/test list,Post-run failure row update workflow,failure_map_learning_loop,Every new live failure becomes row/test candidate,fast_check_in,After live failure; assert row/test created,High,Medium,Medium,Design-time,
F158,Workflow Testing,Predictive Simulation,Workflow fixture ↔ LLM turn ↔ Scorer,Agent uses failure map without prioritization,Tries to solve all rows at once,Overbuilt milestone,No phase/milestone relevance tags,Filter by layer/milestone/severity,milestone_failure_filter,Work only current milestone's failure slice,fast_check_in,Ask agent for next build; assert filtered failures,Medium,High,High,Design-time,
